player_id,player_name,team,position,injury_status,injury_description,date_of_return,last_game_date,games_still_to_miss,games_missed_so_far
8475167,Victor Hedman,TBL,D,IR,Elbow,2026-02-01,2025-12-09,20,2
8476883,Andrei Vasilevskiy,TBL,G,IR,Undisclosed,2025-12-15,2025-12-02,0,6
8478416,Erik Cernak,TBL,D,IR-LT,Undisclosed,2025-12-31,2025-11-22,6,11
8482929,Emil Lilleberg,TBL,D,DTD,Undisclosed,2025-12-15,2025-12-13,0,0
8475690,Chris Tanev,TOR,D,IR,Upper Body,2025-12-23,2025-11-01,4,19
8476932,Anthony Stolarz,TOR,D,IR,Upper Body,2099-12-31,2025-11-11,-999,14
8477541,Dakota Mermis,TOR,D,IR,Lower Body,2026-01-10,2025-12-08,12,2
8478057,Dakota Joshua,TOR,C,DTD,Illness,2025-12-16,2025-12-11,0,1
8478443,Brandon Carlo,TOR,D,IR,Foot,2026-01-03,2025-11-13,9,13
8479361,Joseph Woll,TOR,G,IR,Lower Body,2025-12-16,2025-12-04,0,4
8483546,Marshall Rifai,TOR,D,IR-LT,Wrist,2025-12-16,2024-02-21,0,31
8477021,Alexander Kerfoot,UTA,C,IR,Abdomen,2025-12-19,2025-04-15,3,33
8483431,Logan Cooley,UTA,C,IR,Lower Body,2026-02-04,2025-12-05,23,4
8475762,Derek Forbort,VAN,D,IR-LT,Undisclosed,2025-12-22,2025-10-11,4,29
8476927,Teddy Blueger,VAN,C,IR,Lower Body,2025-12-27,2025-10-19,5,25
8480012,Elias Pettersson,VAN,C,IR,Upper Body,2025-12-16,2025-12-05,1,3
8480078,Filip Chytil,VAN,C,IR,Upper Body,2025-12-16,2025-10-19,1,25
8474565,Alex Pietrangelo,VGK,D,IR,Hip,2099-12-31,2025-05-14,-999,31
8476448,William Karlsson,VGK,D,IR,Lower Body,2099-12-31,2025-11-08,-999,17
8478468,Jeremy Lauzon,VGK,D,IR,Undisclosed,2099-12-31,2025-11-15,-999,14
8478499,Adin Hill,VGK,D,IR,Lower Body,2099-12-31,2025-10-20,-999,24
8481604,Pavel Dorofeyev,VGK,RW,DTD,Undisclosed,2025-12-17,2025-12-13,0,0
8477938,Haydn Fleury,WPG,D,IR,Concussion,2025-12-15,2025-11-11,0,15
8479400,Pierre-Luc Dubois,WSH,D,IR,Abdomen,2099-12-31,2025-10-31,-999,21
8484186,Ryan Leonard,WSH,RW,IR,Shoulder,2025-12-27,2025-12-05,5,3
